"date","out.ch","out_incl_losses.ch","in.ch"
"2017-03-18 00:00:00",146176562.221,168506584.176,135969403.98
"2017-03-19 00:00:00",131398734.197,163487422.646,136204748.121
"2017-03-20 00:00:00",158771402.75,175937395.465,166608720.106
"2017-03-21 00:00:00",163824919.076,181446592.413,193869181.506
"2017-03-22 00:00:00",170050322.404,187870591.142,172171522.326
"2017-03-23 00:00:00",164943832.182,182003324.217,179539704.985
"2017-03-24 00:00:00",163862909.817,179244014.411,179169117.171
"2017-03-25 00:00:00",139809351.848,162201305.377,142875066.431
"2017-03-26 00:00:00",132168735.434,156761425.107,140805400.591
"2017-03-27 01:00:00",159531213.749,175118459.765,164505763.561
"2017-03-28 01:00:00",158394767.205,175712658.61,158666897.136
"2017-03-29 01:00:00",157238299.631,174354001.811,170919450.979
"2017-03-30 01:00:00",156368122.53,174826707.019,155363856.917
"2017-03-31 01:00:00",153161198.535,169849649.277,152394837.356
"2017-04-01 01:00:00",132912439.643,146852940.394,144917454.757
"2017-04-02 01:00:00",124971288.827,146010991.782,139215854.316
"2017-04-03 01:00:00",153642907.401,164045686.939,160300672.608
"2017-04-04 01:00:00",158073691.708,169062134.76,151824167.085
"2017-04-05 01:00:00",159704424.395,171374163.431,154078863.54
"2017-04-06 01:00:00",159380072.692,171818628.715,149174064.733
"2017-04-07 01:00:00",156987756.462,168804456.582,158090914.805
"2017-04-08 01:00:00",131656751.062,145801080.639,136880792.917
"2017-04-09 01:00:00",118768828.958,144384987.305,129590492.191
"2017-04-10 01:00:00",147794510.976,164303418.332,146877294.346
"2017-04-11 01:00:00",152508701.999,166790217.175,162889407.371
"2017-04-12 01:00:00",152387899.04,164944902.917,160318156.613
"2017-04-13 01:00:00",145486151.288,159051125.674,156000449.611
"2017-04-14 01:00:00",120340834.881,134581302.019,144223134.423
"2017-04-15 01:00:00",124819682.75,148677114.848,133629309.526
"2017-04-16 01:00:00",119705191.269,141879743.142,131937633.355
"2017-04-17 01:00:00",123678870.633,151778047.696,131940875.228
"2017-04-18 01:00:00",157101054.355,170399240.917,173748691.022
"2017-04-19 01:00:00",167961413.094,179785762.784,172892696.474
"2017-04-20 01:00:00",166097823.612,177500924.554,172349306.028
"2017-04-21 01:00:00",160244184.186,170593774.757,185341250.637
"2017-04-22 01:00:00",136095485.13,154082679.977,130058476.667
"2017-04-23 01:00:00",123473189.44,152798739.921,127497577.97
"2017-04-24 01:00:00",153488014.425,168731911.919,148099493.395
"2017-04-25 01:00:00",162076854.257,177788701.659,143434962.068
"2017-04-26 01:00:00",170885220.447,185159289.994,183766550.748
"2017-04-27 01:00:00",173111810.792,185411522.931,198777050.935
"2017-04-28 01:00:00",170898200.392,183497697.799,181573688.275
"2017-04-29 01:00:00",141600167.703,157710711.105,140541233.052
"2017-04-30 01:00:00",124540644.06,158126106.97,135045899.494
"2017-05-01 01:00:00",151931957.286,179966194.016,139304841.806
"2017-05-02 01:00:00",162323022.827,175908555.854,193702888.524
"2017-05-03 01:00:00",159876685.175,171817844.897,171504923.082
"2017-05-04 01:00:00",161109136.363,177087744.672,158041622.566
"2017-05-05 01:00:00",153848063.577,170898602.848,151054848.879
"2017-05-06 01:00:00",138440914.474,165014822.705,135253065.714
"2017-05-07 01:00:00",129407015.684,160710206.334,140487503.258
"2017-05-08 01:00:00",160975021.477,177556430.073,152162589.697
"2017-05-09 01:00:00",158894901.988,172968992.843,167799744.704
"2017-05-10 01:00:00",155356698.985,169852810.792,163019793.225
"2017-05-11 01:00:00",153458837.51,167520606.673,159407431.342
"2017-05-12 01:00:00",152719763.346,167047912.02,172884936.627
"2017-05-13 01:00:00",128763779.041,147660901.783,151845242.855
"2017-05-14 01:00:00",117131655.256,145716307.139,154150346.011
"2017-05-15 01:00:00",146971779.439,161509921.254,176939575.368
"2017-05-16 01:00:00",148717706.496,166594115.699,182425325.665
"2017-05-17 01:00:00",148710276.189,163451505.301,192806072.682
"2017-05-18 01:00:00",152038007.137,168870601.537,202939177.059
"2017-05-19 01:00:00",155834251.279,175288797.644,200311582.985
"2017-05-20 01:00:00",131849244.997,156690264.924,182231806.893
"2017-05-21 01:00:00",116916701.37,144508588.22,168225277.067
"2017-05-22 01:00:00",146244294.777,160860988.801,198675076.194
"2017-05-23 01:00:00",147888870.968,162443365.029,193765168.065
"2017-05-24 01:00:00",144919722.249,162945108.962,202011929.942
"2017-05-25 01:00:00",116119075.875,144315590.134,173842396.188
"2017-05-26 01:00:00",129195138.341,151616492.211,196521762.478
"2017-05-27 01:00:00",119345542.633,148454630.775,184368964.661
"2017-05-28 01:00:00",111882235.083,142669914,185874908.789
"2017-05-29 01:00:00",146216798.392,163863394.7,244057540.666
"2017-05-30 01:00:00",148809593.464,165834431.627,238651856.717
"2017-05-31 01:00:00",149922597.415,172683563.199,220430706.889
"2017-06-01 01:00:00",148093738.952,169666059.265,221196711.666
"2017-06-02 01:00:00",145106754.195,162911025.468,222950106.215
"2017-06-03 01:00:00",123216065.457,149919222.22,200690481.01
"2017-06-04 01:00:00",110957213.438,150421074.065,169526967.109
"2017-06-05 01:00:00",117606877.831,156150733.704,173305365.937
"2017-06-06 01:00:00",148492537.013,186626611.026,185616813.511
"2017-06-07 01:00:00",146509891.253,176653662.491,175736610.915
"2017-06-08 01:00:00",145128689.142,163397843.456,192075569.507
"2017-06-09 01:00:00",145666877.658,160375110.769,196763281.875
"2017-06-10 01:00:00",121773129.482,138459660.594,170889052.513
"2017-06-11 01:00:00",111913682.541,147033621.607,152519245.649
"2017-06-12 01:00:00",147821368.53,170846246.216,193241259.823
"2017-06-13 01:00:00",148823644.909,169003596.738,212382680.303
"2017-06-14 01:00:00",150206822.731,168177946.189,212662728.073
"2017-06-15 01:00:00",142950152.126,163785051.72,178081664.128
"2017-06-16 01:00:00",143898145.297,170285158.546,179827547.968
"2017-06-17 01:00:00",120589409.43,149004272.17,176853671.358
"2017-06-18 01:00:00",110427290.072,142681462.693,167046387.322
"2017-06-19 01:00:00",146432825.453,164759834.832,212925349.593
"2017-06-20 01:00:00",151108590.035,170850060.78,200593757.937
"2017-06-21 01:00:00",152820792.542,171495252.013,211221767.191
"2017-06-22 01:00:00",152894475.814,173195516.668,191508156.571
"2017-06-23 01:00:00",152650340.765,172980092.145,189209091.473
"2017-06-24 01:00:00",128815404.981,161568057.602,152669097.678
"2017-06-25 01:00:00",114862889.813,152050550.363,155598350.103
"2017-06-26 01:00:00",147385691.997,167835889.78,208142042.331
"2017-06-27 01:00:00",150100973.042,170364695.736,229044904.565
"2017-06-28 01:00:00",150008462.658,171895672.14,218015712.623
"2017-06-29 01:00:00",146017334.016,165142544.693,215194679.37
"2017-06-30 01:00:00",142091299.235,162036854.76,208811108.042
"2017-07-01 01:00:00",120888330.843,147021612.378,172564686.162
"2017-07-02 01:00:00",114475631.059,143889893.103,165033810.834
"2017-07-03 01:00:00",141924628.719,160715718.086,204978247.332
"2017-07-04 01:00:00",144661534.233,163108405.045,211250864.799
"2017-07-05 01:00:00",147726955.758,165016794.89,223859947.202
"2017-07-06 01:00:00",148584843.594,165712004.776,226889252.396
"2017-07-07 01:00:00",148296157.674,167308867.159,223729076.26
"2017-07-08 01:00:00",126562491.55,156279967.506,172974528.163
"2017-07-09 01:00:00",114960919.387,152472284.622,168065240.308
"2017-07-10 01:00:00",145357052.91,167148144.186,246398648.727
"2017-07-11 01:00:00",144303674.614,164751707.655,222107756.482
"2017-07-12 01:00:00",145120872.16,164209013.191,213421594.555
"2017-07-13 01:00:00",143098239.698,164661100.58,205121684.304
"2017-07-14 01:00:00",142190584.973,161053937.519,192150804.654
"2017-07-15 01:00:00",118765421.602,145897045.852,157888980.85
"2017-07-16 01:00:00",107948859.31,142734104.416,151584267.348
"2017-07-17 01:00:00",139119212.064,153902549.153,213553197.599
"2017-07-18 01:00:00",143707422.535,159718278.497,209988091.432
"2017-07-19 01:00:00",143956636.976,163276658.21,205136199.56
"2017-07-20 01:00:00",142816910.745,161544831.879,195404071.986
"2017-07-21 01:00:00",138385464.433,160965487.406,189379064.387
"2017-07-22 01:00:00",116685097.664,144661568.358,166905435.594
"2017-07-23 01:00:00",106259607.118,146802794.722,160416249.353
"2017-07-24 01:00:00",132810603.683,148531543.536,212269362.494
"2017-07-25 01:00:00",134033208.103,157052933.068,181093464.737
"2017-07-26 01:00:00",134207282.967,156121504.937,201133832.002
"2017-07-27 01:00:00",133993381.529,153324974.968,201170434.163
"2017-07-28 01:00:00",130707693.955,150824171.664,182596507.567
"2017-07-29 01:00:00",112688273.239,152316159.85,158623603.927
"2017-07-30 01:00:00",105013619.086,147154864.331,163802456.282
"2017-07-31 01:00:00",123153121.964,143479554.786,211675183.929
"2017-08-01 01:00:00",110319710.373,128691352.18,211881600.504
"2017-08-02 01:00:00",133987763.523,154250603.033,215275405.974
"2017-08-03 01:00:00",138343107.538,158134652.616,198517958.248
"2017-08-04 01:00:00",138422179.872,159412557.083,213858899.016
"2017-08-05 01:00:00",120089403.01,143598151.718,164092527.713
"2017-08-06 01:00:00",108810810.189,150894449.249,158931873.277
"2017-08-07 01:00:00",133492572.952,153983794.669,190081714.755
"2017-08-08 01:00:00",141061735.238,164227300.166,208007633.64
