;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
2005.729167;69082.93868;5582.655849;NA;NA;2073.233482;13388.65134;70884.1184;NA;NA;NA;2548.69912;390.7598859;NA;NA;189.226361;2624.931342;2183.394912;NA;NA;NA;71632.85726;5958.827572;75551.07806;NA;2262.459843;16013.58268;70255.92854;NA;NA;NA
2005.75;64845.15575;5553.636583;NA;NA;1757.272936;13945.87323;69151.63029;NA;NA;NA;2404.382506;396.3932401;NA;NA;214.8641469;2552.411401;2096.386373;NA;NA;NA;67250.7116;5935.468331;73925.76602;NA;1972.137083;16498.28463;68267.87696;NA;NA;NA
2005.770833;68624.42569;5812.929046;NA;NA;2225.074212;13907.35413;68525.47651;NA;NA;NA;2206.510071;363.2147084;NA;NA;180.9728058;2480.464328;1940.439238;NA;NA;NA;70831.99747;6160.887058;73265.39382;NA;2406.047018;16387.81845;68894.55588;NA;NA;NA
2005.791667;68670.28259;5837.349771;NA;NA;2024.442211;13181.9928;68000.66644;NA;NA;NA;2423.835133;387.5553596;NA;NA;196.3222365;2578.039968;2156.569349;NA;NA;NA;71095.06781;6208.953229;74507.00408;NA;2220.764447;15760.03277;68903.62547;NA;NA;NA
2005.8125;68916.13764;6263.786647;NA;NA;2185.9756;14178.61598;68241.83367;NA;NA;NA;2109.259325;391.5594442;NA;NA;195.8981497;2330.840449;1961.918936;NA;NA;NA;71026.23542;6638.698984;72826.87721;NA;2381.873749;16509.45643;68373.85461;NA;NA;NA
2005.833333;68397.45658;5730.852675;NA;NA;1875.477029;13236.03099;69074.39495;NA;NA;NA;2483.392745;394.9871802;NA;NA;197.170479;2471.717948;2164.751704;NA;NA;NA;70881.52056;6108.662224;75671.52448;NA;2072.647509;15707.74894;69082.5157;NA;NA;NA
2005.854167;69641.9953;5812.956692;NA;NA;1861.063565;13159.25282;70306.40987;NA;NA;NA;2566.328759;429.0030858;NA;NA;207.3247156;2657.785477;2268.374329;NA;NA;NA;72208.82804;6224.252007;74501.90622;NA;2068.388281;15817.0383;71331.71344;NA;NA;NA
2005.875;68339.18091;5860.41871;NA;NA;1907.588485;13972.44619;69481.13172;NA;NA;NA;2466.096178;411.4133603;NA;NA;186.4221979;2564.176955;2191.69444;NA;NA;NA;70805.61381;6253.59416;73192.78412;NA;2094.010683;16536.62314;70775.27655;NA;NA;NA
2005.895833;65665.23803;5517.431754;NA;NA;1714.800872;13104.79969;64585.71624;NA;NA;NA;2487.061015;422.299373;NA;NA;187.1648916;2709.721148;2230.087614;NA;NA;NA;68152.43512;5921.343755;71818.68474;NA;1901.965763;15814.52084;66567.28387;NA;NA;NA
2005.916667;67766.54003;5571.923349;NA;NA;1684.700782;13239.04297;68708.40543;NA;NA;NA;2523.458355;411.6978494;NA;NA;193.8467563;2511.173127;2178.439484;NA;NA;NA;70289.93381;5965.084365;71238.11036;NA;1878.547538;15750.21609;70676.25791;NA;NA;NA
2005.9375;68700.75907;6162.134951;NA;NA;2000.83607;14162.9525;69884.0665;NA;NA;NA;2572.25629;457.8372783;NA;NA;183.5000763;2762.504686;2303.601712;NA;NA;NA;71272.75014;6601.285934;72529.91364;NA;2184.336146;16925.45718;70163.17519;NA;NA;NA
2005.958333;67811.40113;5600.55822;NA;NA;1743.743458;12731.1622;70177.71324;NA;NA;NA;2526.151193;418.1249065;NA;NA;200.9237128;2617.34376;2208.466992;NA;NA;NA;70337.05251;5999.532775;72331.34335;NA;1944.66717;15348.50596;70600.75612;NA;NA;NA
